Record,Location,X,Y,lon,lat,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,Neighborhood
1,105 S OF COMMISSIONER ST @ ALBERT ST,366666.2747,5030879.415,-75.70955407,45.41511543,2016-08-04,17:03,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,LeBreton Flats
2,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.439,5021830.23,-75.72644065,45.33380066,2016-03-30,15:44,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Tanglewood
3,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365432.2342,5021829.655,-75.72643058,45.33379542,2016-09-02,16:02,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Tanglewood
4,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365430.7265,5021830.451,-75.72644971,45.33380271,2016-03-12,17:30,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Tanglewood
5,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365430.6658,5021830.963,-75.72645042,45.33380732,2016-08-23,15:52,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Tanglewood
6,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.8358,5021829.217,-75.72643571,45.33379151,2016-07-06,16:19,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Merivale Gardens - Grenfell Glen - Pineglen - Country Place
7,225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD,368235.6976,5022055.979,-75.69063741,45.335584,2016-06-14,23:46,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Hunt Club - Ottawa Airport
8,225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD,368235.6976,5022055.979,-75.69063741,45.335584,2016-07-06,20:07,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Hunt Club - Ottawa Airport
9,225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD,368235.6976,5022055.979,-75.69063741,45.335584,2016-01-19,17:19,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,05 - Dusk,03 - P.D. only,05 - Turning movement,Hunt Club - Ottawa Airport
10,240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE @ TENTH LINE RD,383736.1826,5036677.455,-75.49055768,45.46556382,2016-01-06,15:57,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Orlans
11,240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE @ TENTH LINE RD,383736.1826,5036677.455,-75.49055768,45.46556382,2016-06-24,14:18,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Orlans
12,240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE @ TENTH LINE RD,383736.1826,5036677.455,-75.49055768,45.46556382,2016-07-17,16:38,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Orlans
13,275 E OF HAWTHORNE RD/OC TRANSPO TURNAROUND @ HUNT CLUB RD,375721.2322,5026539.337,-75.59449924,45.37520653,2016-06-14,5:38,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,03 - Dawn,02 - Non-fatal injury,02 - Angle,Greenbelt
14,2ND LINE RD @ OSGOODE MAIN ST,376058.0625,5001706.544,-75.59376139,45.1517349,2016-08-12,15:04,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Kars - Osgoode
15,2ND LINE RD @ OSGOODE MAIN ST,376056.327,5001708.308,-75.59378321,45.15175095,2016-07-04,20:09,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Kars - Osgoode
16,2ND LINE RD @ OSGOODE MAIN ST,376058.0625,5001706.105,-75.59376145,45.15173095,2016-11-27,13:56,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Kars - Osgoode
17,2ND LINE RD N @ DALMENY RD N,377277.3028,4998872.028,-75.57866832,45.12610629,2016-09-06,7:39,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Kars - Osgoode
18,400 E OF TRAINYARDS DR @ INDUSTRIAL AVE,372091.6332,5030434.623,-75.64030422,45.41061269,2016-06-03,18:33,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Industrial Park
19,400 E OF TRAINYARDS DR @ INDUSTRIAL AVE,372091.6332,5030434.623,-75.64030422,45.41061269,2016-07-29,8:31,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,99 - Other,Industrial Park
20,55 S OF RIDEAU ST @ COLONEL BY DR,367938.6397,5031987.914,-75.69315701,45.42497568,2016-04-06,17:45,03 - Snow,04 - Slush,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Byward Market - Parliament Hill
21,5TH LINE RD btwn SPRINGHILL RD & DEVEREAUX RD,381085.7874,5006022.765,-75.52916958,45.19004557,2016-11-26,17:44,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Metcalfe
22,8TH LINE RD @ MITCH OWENS RD,382362.5764,5018775.131,-75.51093387,45.30464565,2016-01-29,11:20,03 - Snow,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Metcalfe
23,8TH LINE RD @ MITCH OWENS RD,382362.1195,5018775.6,-75.51093963,45.30464992,2016-04-08,7:19,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Metcalfe
24,8TH LINE RD @ PARKWAY RD,383165.1359,5016891.68,-75.50099894,45.28761043,2016-06-26,12:21,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Metcalfe
25,8TH LINE RD @ PARKWAY RD,383168.8504,5016894.285,-75.50095118,45.28763346,2016-05-20,18:19,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Metcalfe
26,8TH LINE RD @ VICTORIA ST,385452.7184,5011165.671,-75.47277097,45.23583268,2016-09-21,16:26,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Metcalfe
