Record,Location,X,Y,lon,lat,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,Neighborhood
1,RIDEAU ST @ WALLER ST,368282.6933,5032274.584,-75.68872387,45.4275239,2014-02-21,6:07,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Byward Market - Parliament Hill
2,HINES RD btwn INNOVATION DR & SOLANDT RD,350172.0889,5022740.323,-75.92103022,45.34314248,2014-08-02,13:55,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,01 - Fatal injury,02 - Angle,South March
3,LOGGERS WAY btwn KINGDON MINE RD & GALETTA SIDE RD,324590.141,5033218.375,-76.24704274,45.43861766,2014-06-20,23:15,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Galetta
4,MONTREAL RD @ BATHGATE DR/BURMA RD,373224.2485,5034517.54,-75.6252687,45.4472389,2014-07-29,16:31,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,05 - Turning movement,Carson Grove - Carson Meadows
5,RICHMOND RD btwn FALLOWFIELD RD & RUSHMORE RD,358156.2048,5012569.715,-75.82025006,45.25106427,2014-08-05,20:05,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,05 - Dusk,01 - Fatal injury,07 - SMV other,Munster Hamlet - Richmond
6,PARKDALE AVE btwn RUSKIN ST & INGLEWOOD PL,365558.5433,5028338.233,-75.72401899,45.39234754,2014-04-19,10:22,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,06 - SMV unattended vehicle,Civic Hospital - Experimental Farm - Central Park
7,CARLING AVE/STATION RD @ MARCH RD,350908.0907,5022245.56,-75.91168508,45.33864251,2014-07-27,13:10,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,01 - Fatal injury,99 - Other,South March
8,CATHERINE ST @ KENT ST,367909.1293,5030188.564,-75.69376452,45.40878838,2014-08-12,22:18,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Centretown
9,DOYLE RD @ RIVER RD,373751.1415,5003855.456,-75.62279993,45.17129965,2014-09-06,10:58,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,01 - Fatal injury,04 - Sideswipe,Kars - Osgoode
10,KATIMAVIK RD btwn PEARY WAY & CHIMO DR,352939.4854,5019623.686,-75.88602195,45.31491394,2014-04-22,16:17,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,Katimavik - Hazeldean
