Record,Location,X,Y,Longitude,Latitude,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,Neighborhood
1,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.7034,5021829.496,-75.72644,45.33379,2017-08-22,6:10:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Merivale Gardens - Grenfell Glen - Pineglen - Country Place
2,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365430.6371,5021830.432,-75.72645,45.3338,2017-10-19,12:20:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Tanglewood
3,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.7011,5021829.495,-75.72644,45.33379,2017-01-31,8:09:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Merivale Gardens - Grenfell Glen - Pineglen - Country Place
4,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.3522,5021829.484,-75.72644,45.33379,2017-03-24,10:45:00 AM,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Merivale Gardens - Grenfell Glen - Pineglen - Country Place
5,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365432.0211,5021829.484,-75.72643,45.33379,2017-04-04,12:30:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Merivale Gardens - Grenfell Glen - Pineglen - Country Place
6,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.7028,5021829.496,-75.72644,45.33379,2017-12-15,4:19:00 PM,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,05 - Dusk,02 - Non-fatal injury,05 - Turning movement,Merivale Gardens - Grenfell Glen - Pineglen - Country Place
7,225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD,368235.6976,5022055.979,-75.69064,45.33558,2017-01-10,8:34:00 PM,03 - Snow,05 - Packed snow,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Hunt Club - Ottawa Airport
8,2ND LINE RD @ CABIN RD,375653.1881,5002682.346,-75.59877,45.16056,2017-11-20,9:57:00 AM,03 - Snow,06 - Ice,03 - Yield sign,03 - At intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Kars - Osgoode
9,2ND LINE RD btwn OSGOODE MAIN ST & HUGH CRES,376117.4534,5001581.461,-75.59302,45.1506,2017-07-04,9:45:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Kars - Osgoode
10,4TH LINE RD btwn FOREST RD & SPRINGHILL RD,379732.3214,5004332.335,-75.54665,45.17498,2017-06-03,4:38:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Kars - Osgoode
11,4TH LINE RD btwn FOREST RD & SPRINGHILL RD,379995.1869,5003713.888,-75.54339,45.16939,2017-04-15,2:53:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Kars - Osgoode
12,4TH LINE RD btwn MCDIARMID RD & BELMEADE RD,382056.2994,4998070.609,-75.51805,45.11839,2017-04-23,1:51:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Kars - Osgoode
13,8TH LINE RD @ GLENWOOD DR,385888.5425,5010030.301,-75.46741,45.22557,2017-08-19,12:44:00 AM,01 - Clear,01 - Dry,10 - No control,02 - Intersection related,07 - Dark,02 - Non-fatal injury,07 - SMV other,Metcalfe
14,8TH LINE RD @ MITCH OWENS RD,382361.9329,5018774.688,-75.51094,45.30464,2017-08-14,5:00:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other,Metcalfe
15,8TH LINE RD @ MITCH OWENS RD,382363.2428,5018774.696,-75.51093,45.30464,2017-09-12,4:47:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Metcalfe
16,8TH LINE RD @ MITCH OWENS RD,382361.8064,5018777.875,-75.51094,45.30467,2017-11-30,4:26:00 PM,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,05 - Dusk,03 - P.D. only,05 - Turning movement,Metcalfe
17,8TH LINE RD @ MITCH OWENS RD,382361.8064,5018774.918,-75.51094,45.30464,2017-03-24,9:18:00 PM,03 - Snow,03 - Loose snow,02 - Stop sign,03 - At intersection,07 - Dark,03 - P.D. only,07 - SMV other,Metcalfe
18,8TH LINE RD @ PARKWAY RD,383165.5292,5016891.997,-75.50099,45.28761,2017-06-25,6:16:00 PM,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Metcalfe
