Station,utm_e,utm_n,height,utm_z
test1,365431.70335,5021829.49630,0,ON-9
test2,365430.63705,5021830.43234,0,ON-9
3,365431.70110,5021829.49510,0,ON-9
4,365431.35217,5021829.48397,0,ON-9
5,365432.02107,5021829.48397,0,ON-9
6,365431.70282,5021829.49619,0,ON-9
7,368235.69760,5022055.97860,0,ON-9
8,375653.18807,5002682.34608,0,ON-9
9,376117.45339,5001581.46051,0,ON-9
10,379732.32137,5004332.33502,0,ON-9
11,379995.18692,5003713.88753,0,ON-9
12,382056.29935,4998070.60888,0,ON-9
13,385888.54250,5010030.30105,0,ON-9
14,382361.93290,5018774.68815,0,ON-9
15,382363.24283,5018774.69586,0,ON-9
16,382361.80636,5018777.87517,0,ON-9
17,382361.80636,5018774.91796,0,ON-9
18,383165.52916,5016891.99652,0,ON-9
19,383166.74125,5016892.17066,0,ON-9
20,386913.98058,5007335.19084,0,ON-9
21,385271.41528,5011638.05442,0,ON-9
22,384041.04310,5014811.55041,0,ON-9
23,387737.81575,5005229.67802,0,ON-9
24,382555.31466,5018345.00533,0,ON-9
25,384774.52770,5012974.97505,0,ON-9
26,384864.51831,5012711.93015,0,ON-9
27,387003.33245,5007084.66008,0,ON-9
28,387131.38688,5012213.18231,0,ON-9
29,362166.07500,5025847.42129,0,ON-9
30,353223.51580,5017259.13334,0,ON-9
31,353827.56558,5018035.01294,0,ON-9
32,353673.10680,5017965.46430,0,ON-9
33,353492.38954,5017735.27023,0,ON-9
34,353730.31950,5017996.88916,0,ON-9
35,351484.20222,5014433.24423,0,ON-9
36,351484.70035,5014435.91683,0,ON-9
37,351978.54139,5014878.75271,0,ON-9
38,351979.74764,5014877.73389,0,ON-9
39,351157.88374,5014145.97268,0,ON-9
40,350251.79186,5013330.78397,0,ON-9
41,350248.91875,5013330.74800,0,ON-9
42,350248.58430,5013330.93900,0,ON-9
43,349644.78874,5012784.41530,0,ON-9
44,366651.36025,5029341.56260,0,ON-9
45,366651.69470,5029340.32803,0,ON-9
46,350459.86389,5024070.95687,0,ON-9
47,350495.74110,5023988.28237,0,ON-9
48,365053.34800,5013471.10400,0,ON-9
49,369635.04205,5033941.25901,0,ON-9
50,369401.72512,5034679.62695,0,ON-9
51,368702.72602,5035534.24602,0,ON-9
52,368704.39482,5035533.26761,0,ON-9
53,369542.27274,5034190.34102,0,ON-9
54,356552.33500,5015257.14660,0,ON-9
55,349725.97816,5023305.10343,0,ON-9
56,349731.58900,5012185.90900,0,ON-9
57,366778.69706,5029049.88560,0,ON-9
58,366780.03485,5029049.21671,0,ON-9
59,366779.70040,5029051.78907,0,ON-9
60,362132.69344,5024317.84519,0,ON-9
61,362457.68531,5024005.51216,0,ON-9
62,362456.68266,5024003.50541,0,ON-9
63,362456.60052,5024004.69799,0,ON-9
64,362458.15937,5024005.27541,0,ON-9
65,365153.94843,5027266.14710,0,ON-9
66,358341.22395,5023230.01467,0,ON-9
67,374971.74120,5027717.53580,0,ON-9
68,374971.26783,5027718.71923,0,ON-9
69,374675.33428,5027551.30085,0,ON-9
70,374915.21946,5027683.42209,0,ON-9
71,374338.34245,5027476.33840,0,ON-9
72,374195.14488,5027360.31013,0,ON-9
73,374170.33454,5027322.58787,0,ON-9
74,363447.64903,5025451.97055,0,ON-9
75,363446.82248,5025450.59759,0,ON-9
76,363447.15997,5025450.76359,0,ON-9
77,359544.27068,5024743.65598,0,ON-9
78,363822.56811,5024660.78933,0,ON-9
79,363443.44073,5024514.04334,0,ON-9
80,370593.93287,5020833.42364,0,ON-9
81,370592.94403,5020832.43336,0,ON-9
82,370593.96990,5020833.69400,0,ON-9
83,370262.38937,5020608.46073,0,ON-9
84,371019.53134,5023701.66041,0,ON-9
85,371019.53134,5023703.66710,0,ON-9
86,371018.86245,5023703.66710,0,ON-9
87,371018.63184,5023703.71413,0,ON-9
88,371018.52800,5023702.72683,0,ON-9
89,371019.00590,5023703.71505,0,ON-9
90,371018.04949,5023704.07801,0,ON-9
91,371019.07445,5023703.54465,0,ON-9
92,371018.86245,5023702.99820,0,ON-9
93,371019.47475,5023702.76151,0,ON-9
94,371019.53134,5023702.32930,0,ON-9
95,371019.76257,5023706.70190,0,ON-9
96,371018.52863,5023702.99883,0,ON-9
97,371018.52800,5023702.45175,0,ON-9
98,371018.53416,5023702.98280,0,ON-9
99,371018.52800,5023705.57331,0,ON-9
100,371019.38637,5023701.28146,0,ON-9
101,371019.38637,5023703.85657,0,ON-9
102,371019.53134,5023702.99820,0,ON-9
103,371018.86245,5023702.32930,0,ON-9
104,371019.00590,5023702.75925,0,ON-9
105,371299.43423,5021621.59720,0,ON-9
106,370459.62767,5024531.82745,0,ON-9
107,370192.55065,5025326.24572,0,ON-9
108,370185.03839,5025343.30666,0,ON-9
109,370209.38401,5025284.17522,0,ON-9
110,368709.77307,5026677.72923,0,ON-9
111,370990.76880,5023773.23231,0,ON-9
112,370979.39757,5023799.31927,0,ON-9
113,371033.27283,5023656.84699,0,ON-9
114,370981.24249,5023793.24317,0,ON-9
115,371031.34358,5023665.19738,0,ON-9
116,369026.46263,5026155.15122,0,ON-9
117,369001.08028,5026165.47432,0,ON-9
118,368875.97772,5026278.55212,0,ON-9
119,371326.17732,5021727.50472,0,ON-9
120,371310.21865,5021649.90630,0,ON-9
121,371315.92475,5021678.57206,0,ON-9
122,371331.46629,5021757.87583,0,ON-9
123,371289.57328,5022111.54139,0,ON-9
124,371306.77932,5021653.25723,0,ON-9
125,371302.34810,5021629.80995,0,ON-9
126,369821.38003,5025787.97863,0,ON-9
127,369939.02529,5025692.76811,0,ON-9
128,369994.82361,5025631.88133,0,ON-9
129,370060.88903,5025553.07154,0,ON-9
130,371012.84596,5023629.43286,0,ON-9
131,371298.16790,5021617.92774,0,ON-9
132,368694.00680,5026732.12319,0,ON-9
133,368696.72496,5026292.71580,0,ON-9
134,370078.24715,5025791.41701,0,ON-9
135,353916.77590,5016238.03260,0,ON-9
136,353940.97000,5016167.04200,0,ON-9
137,354386.95143,5015808.89215,0,ON-9
138,372584.73540,5022591.87613,0,ON-9
139,375434.60600,5019917.44100,0,ON-9
140,375501.18360,5019954.08389,0,ON-9
141,363290.86560,5025104.03745,0,ON-9
142,363573.58173,5015455.54114,0,ON-9
143,367386.03055,5031423.57360,0,ON-9
144,367385.39363,5031423.00705,0,ON-9
145,367384.69276,5031425.58029,0,ON-9
146,367385.70300,5031423.57700,0,ON-9
147,367385.69540,5031423.57225,0,ON-9
148,366942.22203,5031144.29666,0,ON-9
149,366941.60992,5031143.85797,0,ON-9
150,366428.35875,5030625.89770,0,ON-9
151,366429.02765,5030626.56660,0,ON-9
152,366427.68986,5030625.89770,0,ON-9
153,366429.16657,5030625.38317,0,ON-9
154,366430.36544,5030626.56660,0,ON-9
155,366427.77472,5030626.79622,0,ON-9
156,366429.63995,5030627.27666,0,ON-9
157,366429.69654,5030626.56660,0,ON-9
158,366428.69320,5030626.80555,0,ON-9
159,366427.68986,5030627.90439,0,ON-9
160,366429.16657,5030625.38317,0,ON-9
161,366429.44367,5030627.69230,0,ON-9
162,366428.69320,5030626.56660,0,ON-9
163,366429.44367,5030625.44090,0,ON-9
164,366427.68986,5030627.23550,0,ON-9
165,366428.35875,5030627.90439,0,ON-9
166,366429.44367,5030627.69230,0,ON-9
167,366429.16657,5030625.85654,0,ON-9
168,366626.15123,5030800.78686,0,ON-9
169,366740.03875,5031017.91209,0,ON-9
170,366714.03175,5030972.90779,0,ON-9
171,366714.70064,5030970.90110,0,ON-9
172,366714.03175,5030972.23890,0,ON-9
173,366714.64405,5030972.75343,0,ON-9
174,367851.04605,5031711.58140,0,ON-9
175,367851.04605,5031712.25030,0,ON-9
176,367851.25805,5031710.48850,0,ON-9
177,367850.32447,5031711.68760,0,ON-9
178,367849.70826,5031712.91919,0,ON-9
179,367852.24616,5031711.45804,0,ON-9
180,367850.71160,5031711.58140,0,ON-9
181,367850.74921,5031711.35984,0,ON-9
182,367851.04605,5031712.25030,0,ON-9
183,367850.32447,5031711.36151,0,ON-9
184,367851.71494,5031712.25030,0,ON-9
185,366576.70100,5030720.32675,0,ON-9
186,366577.17890,5030720.32675,0,ON-9
187,366577.45147,5030720.94093,0,ON-9
188,366577.03545,5030721.23460,0,ON-9
189,367221.18530,5031320.59250,0,ON-9
190,367220.02256,5031320.24240,0,ON-9
191,367222.02925,5031320.24240,0,ON-9
192,367061.75345,5031219.34721,0,ON-9
193,367062.36575,5031220.92169,0,ON-9
194,367691.18083,5031614.39073,0,ON-9
195,367691.70050,5031614.12835,0,ON-9
196,367691.36605,5031613.58190,0,ON-9
197,367687.99680,5031614.81647,0,ON-9
198,367691.70050,5031612.86505,0,ON-9
199,367539.24895,5031520.57300,0,ON-9
200,367537.74671,5031519.85615,0,ON-9
201,367538.22460,5031521.28985,0,ON-9
202,367539.03695,5031520.57300,0,ON-9
203,367538.25154,5031520.34752,0,ON-9
204,367538.70250,5031522.44917,0,ON-9
205,366534.02636,5030696.91109,0,ON-9
206,366160.21484,5030465.93900,0,ON-9
207,366161.03145,5030465.90879,0,ON-9
208,366161.03145,5030463.90210,0,ON-9
209,366159.37423,5030466.00798,0,ON-9
210,366162.41374,5030466.28774,0,ON-9
211,366161.03145,5030465.23990,0,ON-9
212,367526.99681,5031511.20845,0,ON-9
213,366975.13687,5031162.31570,0,ON-9
214,367000.09566,5031180.63527,0,ON-9
215,366891.54611,5031111.75603,0,ON-9
216,366899.68465,5031118.97489,0,ON-9
217,366904.23386,5031117.49964,0,ON-9
218,366916.61852,5031127.61985,0,ON-9
